EID,Date,Breed,Treatment,Mob,Sex,Weight,PWeight,GrowthPBS,FinalPweight,FinalGrowthPBS,FinalDailyGrowth,FeedIntakeKgd,FeedIntakePCT,Methane,AnimalValue,AnimalProd,FeedIntakeKgdSum,FinalGrowthPBSSum,AnimalProdSum,MethaneSum,MethaneSupplSum,CarcassWeight,DressedCarcass
982 123536700233,11/10/2023,Brahman X,Drench,Front,Steer,303,331.2291246,-1.921730616,331.2291246,-1.921730616,,3.233458419,0.976199911,66.93258927,1391,-8.07,3.233458419,-1.921730616,,0.066932589,,200.6829414,174.6571174
982 123536700478,08/10/2023,Brahman X,Drench,Front,Steer,570,596.2792555,0.73896836,596.2792555,0.73896836,,10.24291593,1.717805179,212.0283598,2504,3.1,10.24291593,0.73896836,,0.21202836,,313.7612788,314.4180514
982 123536700493,12/10/2023,Brahman X,Drench,Front,Steer,648,647.771,1.406663347,647.771,1.406663347,,12.09648676,1.867401714,250.3972759,2721,5.91,12.09648676,1.406663347,,0.250397276,,335.7292017,341.5696483
982 123536700493,13/10/2023,Brahman X,Drench,Front,Steer,,,,649.2099819,1.420333033,,12.13816445,1.869682351,251.2600042,2727,5.97,24.23465121,2.826996381,,,,336.3431146,342.3284235
982 123536700493,14/10/2023,Brahman X,Drench,Front,Steer,650,650.6489638,1.434002719,650.6489638,1.434002719,1.438981895,12.17983867,1.871952365,252.1226604,2733,6.02,36.41448988,4.2609991,,,,336.9570274,343.0871986
982 123536700493,15/10/2023,Brahman X,Drench,Front,Steer,652,651.5784223,1.169947778,651.5784223,1.169947778,0.929458512,11.61349644,1.782363571,240.3993762,2737,4.91,48.02798631,5.430946877,,,,337.3535623,343.5773021
982 123536700502,06/10/2023,Brahman X,Drench,Front,Steer,520,520.4120083,-1.39767049,520.4120083,-1.39767049,,5.775609609,1.109814823,119.5551189,2186,-5.87,5.775609609,-1.39767049,,0.119555119,,281.3940351,274.413252
982 123536700502,07/10/2023,Brahman X,Drench,Front,Steer,,,,524.1275532,-0.16198739,,7.835900577,1.495036949,162.203142,2201,-0.68,13.61151019,-1.559657879,,,,282.979198,276.3724588
982 123536700502,08/10/2023,Brahman X,Drench,Front,Steer,,,,527.8430981,1.073695711,,10.2093934,1.934171999,211.3344434,2217,4.51,23.82090359,-0.485962169,,,,284.5643609,278.3316656
982 123536700502,09/10/2023,Brahman X,Drench,Front,Steer,,,,531.558643,2.309378811,,12.89591754,2.426057351,266.945493,2233,9.7,36.71682112,1.823416642,,,,286.1495239,280.2908725
982 123536700502,10/10/2023,Brahman X,Drench,Front,Steer,536,535.274188,3.545061911,535.274188,3.545061911,3.715544923,15.89530247,2.96956267,329.0327611,2248,14.89,52.61212359,5.368478553,,,,287.7346868,282.2500793
982 123536700502,11/10/2023,Brahman X,Drench,Front,Steer,,,,530.0675449,0.413929466,-8.180705728,8.948284126,1.688140354,185.2294814,2226,1.74,61.56040772,5.782408018,,,,285.5133767,279.5046164
982 123536700502,12/10/2023,Brahman X,Drench,Front,Steer,,,,524.8609018,-2.717202979,-11.15476839,3.982835428,0.758836372,82.44469335,2204,-11.41,65.54324314,3.065205039,,,,283.2920665,276.7591535
982 123536700502,13/10/2023,Brahman X,Drench,Front,Steer,522,519.6542588,-5.848335424,519.6542588,-5.848335424,-5.206643065,0.999798509,0.192396866,20.69582914,2183,-24.56,66.54304165,-2.783130385,,,,281.0707564,274.0136906
982 123536700517,14/10/2023,Brahman X,Drench,Front,Steer,608,506.059496,-0.303992243,506.059496,-0.303992243,,7.403309871,1.462932705,153.2485143,2125,-1.28,7.403309871,-0.303992243,,0.153248514,,275.2708228,266.8451722
982 123536700519,08/10/2023,Brahman X,Drench,Front,Steer,652,471.7326388,-0.561710232,471.7326388,-0.561710232,,6.610787035,1.401384278,136.8432916,1981,-2.36,6.610787035,-0.561710232,,0.136843292,,260.6259557,248.7446204
982 123536700520,15/10/2023,Brahman X,Drench,Front,Steer,610,609.9999996,3.22147641,609.9999996,3.22147641,,16.01364345,2.625187453,331.4824195,2562,13.53,16.01364345,3.22147641,,0.33148242,,319.6149598,321.6529998
982 123536700536,12/10/2023,Brahman X,Drench,Front,Steer,700,700.0004625,-4.727699926,700.0004625,-4.727699926,,2.559279857,0.365611167,52.97709304,2940,-19.86,2.559279857,-4.727699926,,0.052977093,,358.0118573,369.1102439
982 123536700541,08/10/2023,Brahman X,Drench,Front,Steer,516,515.9383695,-1.148445042,515.9383695,-1.148445042,,6.118201095,1.185839522,126.6467627,2167,-4.82,6.118201095,-1.148445042,,0.126646763,,279.4854466,272.0543023
982 123536700541,09/10/2023,Brahman X,Drench,Front,Steer,,,,517.0215615,-0.066310931,,7.931999565,1.53417191,164.192391,2171,-0.28,14.05020066,-1.214755973,,,,279.9475688,272.6254694
982 123536700541,10/10/2023,Brahman X,Drench,Front,Steer,518,518.1047536,1.01582318,518.1047536,1.01582318,1.083192009,9.980893988,1.926423936,206.6045056,2176,4.27,24.03109465,-0.198932793,,,,280.409691,273.1966366
